id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
72,W 52 St & 11 Ave,5,55,40.76727216,-73.99392888,In Service,1,50,W 52 St & 11 Ave,,,,,,false,2020-02-22 10:47:04 AM,
79,Franklin St & W Broadway,0,33,40.71911552,-74.00666661,In Service,1,33,Franklin St & W Broadway,,,,,,false,2020-02-22 10:46:39 AM,
82,St James Pl & Pearl St,1,27,40.71117416,-74.00016545,In Service,1,26,St James Pl & Pearl St,,,,,,false,2020-02-22 10:49:02 AM,
83,Atlantic Ave & Fort Greene Pl,11,62,40.68382604,-73.97632328,In Service,1,50,Atlantic Ave & Fort Greene Pl,,,,,,false,2020-02-22 10:47:35 AM,
116,W 17 St & 8 Ave,33,50,40.74177603,-74.00149746,In Service,1,17,W 17 St & 8 Ave,,,,,,false,2020-02-22 10:50:24 AM,
119,Park Ave & St Edwards St,9,19,40.69608941,-73.97803415,In Service,1,10,Park Ave & St Edwards St,,,,,,false,2020-02-22 10:50:09 AM,
120,Lexington Ave & Classon Ave,12,19,40.68676793,-73.95928168,In Service,1,6,Lexington Ave & Classon Ave,,,,,,false,2020-02-22 10:47:03 AM,
127,Barrow St & Hudson St,15,31,40.73172428,-74.00674436,In Service,1,16,Barrow St & Hudson St,,,,,,false,2020-02-22 10:50:26 AM,
128,MacDougal St & Prince St,5,30,40.72710258,-74.00297088,In Service,1,24,MacDougal St & Prince St,,,,,,false,2020-02-22 10:50:22 AM,
143,Clinton St & Joralemon St,19,24,40.69239502,-73.99337909,In Service,1,5,Clinton St & Joralemon St,,,,,,false,2020-02-22 10:50:00 AM,
144,Nassau St & Navy St,0,58,40.69839895,-73.98068914,In Service,1,57,Nassau St & Navy St,,,,,,false,2020-02-22 10:46:41 AM,
146,Hudson St & Reade St,8,39,40.71625008,-74.0091059,In Service,1,30,Hudson St & Reade St,,,,,,false,2020-02-22 10:50:11 AM,
150,E 2 St & Avenue C,14,54,40.7208736,-73.98085795,In Service,1,40,E 2 St & Avenue C,,,,,,false,2020-02-22 10:48:18 AM,
151,Cleveland Pl & Spring St,7,33,40.722103786686034,-73.99724900722504,In Service,1,25,Cleveland Pl & Spring St,,,,,,false,2020-02-22 10:48:54 AM,
157,Henry St & Atlantic Ave,21,23,40.69089272,-73.99612349,In Service,1,2,Henry St & Atlantic Ave,,,,,,false,2020-02-22 10:48:01 AM,
161,LaGuardia Pl & W 3 St,10,35,40.72917025,-73.99810231,In Service,1,25,LaGuardia Pl & W 3 St,,,,,,false,2020-02-22 10:48:38 AM,
164,E 47 St & 2 Ave,27,47,40.75323098,-73.97032517,In Service,1,19,E 47 St & 2 Ave,,,,,,false,2020-02-22 10:47:16 AM,
167,E 39 St & 3 Ave,36,45,40.7489006,-73.97604882,In Service,1,8,E 39 St & 3 Ave,,,,,,false,2020-02-22 10:48:31 AM,
168,W 18 St & 6 Ave,17,47,40.73971301,-73.99456405,In Service,1,27,W 18 St & 6 Ave,,,,,,false,2020-02-22 10:49:32 AM,
173,Broadway & W 49 St,60,70,40.76068327096592,-73.9845272898674,In Service,1,10,Broadway & W 49 St,,,,,,false,2020-02-22 10:48:52 AM,
174,E 25 St & 1 Ave,15,30,40.7381765,-73.97738662,In Service,1,14,E 25 St & 1 Ave,,,,,,false,2020-02-22 10:47:49 AM,
195,Liberty St & Broadway,36,45,40.70905623,-74.01043382,In Service,1,9,Liberty St & Broadway,,,,,,false,2020-02-22 10:49:07 AM,
212,W 16 St & The High Line,42,60,40.74334935,-74.00681753,In Service,1,17,W 16 St & The High Line,,,,,,false,2020-02-22 10:48:09 AM,
216,Columbia Heights & Cranberry St,22,23,40.70037867,-73.99548059,In Service,1,1,Columbia Heights & Cranberry St,,,,,,false,2020-02-22 10:49:32 AM,
217,Old Fulton St,2,39,40.70277159,-73.99383605,In Service,1,37,Old Fulton St,,,,,,false,2020-02-22 10:48:31 AM,
223,W 13 St & 7 Ave,12,33,40.73781509,-73.99994661,In Service,1,20,W 13 St & 7 Ave,,,,,,false,2020-02-22 10:49:36 AM,
224,Spruce St & Nassau St,28,31,40.71146364,-74.00552427,In Service,1,3,Spruce St & Nassau St,,,,,,false,2020-02-22 10:49:39 AM,
228,E 48 St & 3 Ave,50,55,40.7546011026,-73.971878855,In Service,1,4,E 48 St & 3 Ave,,,,,,false,2020-02-22 10:49:24 AM,
229,Great Jones St,0,23,40.72743423,-73.99379025,In Service,1,22,Great Jones St,,,,,,false,2020-02-22 10:49:35 AM,
236,St Marks Pl & 2 Ave,10,47,40.7284186,-73.98713956,In Service,1,36,St Marks Pl & 2 Ave,,,,,,false,2020-02-22 10:49:09 AM,
237,E 11 St & 2 Ave,7,39,40.73047309,-73.98672378,In Service,1,31,E 11 St & 2 Ave,,,,,,false,2020-02-22 10:50:27 AM,
238,Bank St & Washington St,7,31,40.7361967,-74.00859207,In Service,1,24,Bank St & Washington St,,,,,,false,2020-02-22 10:47:23 AM,
239,Willoughby St & Fleet St,22,31,40.69196566,-73.9813018,In Service,1,8,Willoughby St & Fleet St,,,,,,false,2020-02-22 10:49:20 AM,
241,DeKalb Ave & S Portland Ave,20,23,40.68981035,-73.97493121,In Service,1,3,DeKalb Ave & S Portland Ave,,,,,,false,2020-02-22 10:47:37 AM,
242,Carlton Ave & Flushing Ave,13,46,40.697787,-73.973736,In Service,1,33,Carlton Ave & Flushing Ave,,,,,,false,2020-02-22 10:49:07 AM,
244,Willoughby Ave & Hall St,22,31,40.69196035,-73.96536851,In Service,1,9,Willoughby Ave & Hall St,,,,,,false,2020-02-22 10:50:13 AM,
245,Myrtle Ave & St Edwards St,8,23,40.69327018,-73.97703874,In Service,1,15,Myrtle Ave & St Edwards St,,,,,,false,2020-02-22 10:49:50 AM,
247,Perry St & Bleecker St,36,55,40.73535398,-74.00483091,In Service,1,15,Perry St & Bleecker St,,,,,,false,2020-02-22 10:50:00 AM,
248,Laight St & Hudson St,11,23,40.72185379,-74.00771779,In Service,1,12,Laight St & Hudson St,,,,,,false,2020-02-22 10:48:42 AM,
249,Harrison St & Hudson St,0,27,40.71870987,-74.0090009,In Service,1,27,Harrison St & Hudson St,,,,,,false,2020-02-22 10:47:19 AM,
250,Lafayette St & Jersey St,30,40,40.72456089,-73.99565293,In Service,1,7,Lafayette St & Jersey St,,,,,,false,2020-02-22 10:47:55 AM,
251,Mott St & Prince St,3,27,40.72317958,-73.99480012,In Service,1,23,Mott St & Prince St,,,,,,false,2020-02-22 10:49:33 AM,
252,MacDougal St & Washington Sq,4,33,40.73226398,-73.99852205,In Service,1,28,MacDougal St & Washington Sq,,,,,,false,2020-02-22 10:49:33 AM,
254,W 11 St & 6 Ave,15,59,40.73532427,-73.99800419,In Service,1,43,W 11 St & 6 Ave,,,,,,false,2020-02-22 10:49:38 AM,
257,Lispenard St & Broadway,14,39,40.71939226,-74.00247214,In Service,1,24,Lispenard St & Broadway,,,,,,false,2020-02-22 10:48:41 AM,
258,DeKalb Ave & Vanderbilt Ave,4,23,40.68940747,-73.96885458,In Service,1,18,DeKalb Ave & Vanderbilt Ave,,,,,,false,2020-02-22 10:49:47 AM,
259,South St & Whitehall St,8,39,40.70122128,-74.01234218,In Service,1,29,South St & Whitehall St,,,,,,false,2020-02-22 10:47:38 AM,
260,Broad St & Bridge St,15,33,40.70365182,-74.01167797,In Service,1,18,Broad St & Bridge St,,,,,,false,2020-02-22 10:47:50 AM,
